"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-08","0.00","71","43",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-09","0.00","69","43",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-10","0.02","68","50",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-11","0.00","60","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-12","0.23","54","48",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-13","0.06","53","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-14","0.11","67","49",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-15","0.00","64","51",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-16","0.00","70","33",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-17","0.00","72","34",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-18","0.00","73","39",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-19","0.00","76","51",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-20","0.00","82","37",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-21","0.00","81","37",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-22","0.00","81","40",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-23","0.00","80","38",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-24","0.00","72","38",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-25","0.00","75","40",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-26","0.08","68","42",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-27","0.00","70","41",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-28","0.28","63","34",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-29","0.30","61","42",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-30","0.13","64","39",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-08-31","0.00","64","33",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-01","0.00","65","36",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-02","0.00","61","38",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-03","0.00","61","37",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-04","0.00","61","39",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-05","0.00","57","48",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-06","0.00","54","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-07","0.00","58","41",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-08","0.06","48","34",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-09","0.00","55","33",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-10","0.03","50","42",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-11","0.00","53","45",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-12","0.00","54","48",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-13","0.02","60","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-09-14","0.03","54","43",
